Simulacao,Tempo_s,STEP,DP01,DP02,DP03,DP04,DP05,DP06,DP07,DP08,DP09,DP10,DP11,DP12
Stamp_110,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1407,0.772,2.2124,4.8186,8.9891,14.777,22.6817,31.4024,40.1814,48.8979","0.0,0.1013,0.461,1.9684,4.8613,10.5975,19.2323,32.5341,49.7337,68.1373,88.6642","0.0,0.3193,0.9371,2.4093,4.3606,7.0821,10.8744,15.9321,22.9062,30.963,38.6919","0.0,0.3561,1.2044,3.5808,8.2149,16.4033,29.155,44.8927,62.3153,80.113,98.5588","0.0,0.6722,3.7167,12.9921,25.9741,41.4692,58.4409,76.0749,94.3933,113.417,134.9057","0.0,0.1354,1.4959,5.2519,12.1154,21.343,32.1328,43.9499,56.5363,69.2038,81.2871","0.0,0.2013,1.4531,4.157,8.6816,15.0097,22.9909,32.5551,43.3287,54.5986,65.704","0.0,0.0826,0.6686,2.4574,5.8145,11.9792,20.3186,30.7029,43.4654,58.6057,76.3515","0.0,0.1102,0.471,1.4872,3.2833,6.3977,11.0608,17.2571,25.0946,34.2377,45.2133","0.0,0.2598,1.4823,4.1699,10.5342,19.5404,30.0615,41.4201,53.3198,65.0159,76.882","0.0,0.4111,2.5381,6.8976,16.3994,29.8448,45.4968,62.2013,79.7881,97.1823,115.6052","0.0,0.2282,1.1581,3.0803,9.1802,20.0411,35.0629,51.957,69.6562,87.3948,103.6224"
Stamp_111,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1659,0.7977,2.2601,4.8528,9.0438,14.8125,22.6747,31.3909,40.1357,48.8139","0.0,0.1241,0.513,2.02,4.8964,10.5991,19.213,32.5808,49.8884,68.4239,88.9574","0.0,0.2972,0.9646,2.4627,4.3893,7.092,10.8312,15.8799,23.0321,31.0274,38.7261","0.0,0.3405,1.2601,3.6175,8.2306,16.4086,29.1992,44.9588,62.3586,80.1301,98.3455","0.0002,0.666,3.8638,13.233,26.1476,41.6244,58.5608,76.2634,94.6479,113.7494,134.9694","0.0,0.1085,1.517,5.2568,12.0936,21.1953,31.8436,43.6918,56.3184,69.0453,81.1173","0.0,0.188,1.521,4.2113,8.7493,15.0852,23.095,32.6519,43.4051,54.6084,65.6341","0.0,0.096,0.7041,2.5409,5.9324,12.2134,20.6138,31.1256,43.9883,59.142,77.1267","0.0,0.102,0.474,1.4999,3.3032,6.4271,11.1156,17.3183,25.1009,34.2391,45.1317","0.0,0.2769,1.5033,4.2471,10.6259,19.611,30.1784,41.601,53.4249,65.3548,77.2039","0.0,0.4559,2.5779,7.0449,16.5819,30.0456,45.6789,62.4289,79.9661,97.4451,115.786","0.0,0.2443,1.1995,3.0989,9.2264,20.179,35.2236,52.0793,69.6725,87.3051,103.3521"
Stamp_112,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1547,0.7911,2.2312,4.835,9.0582,14.903,22.7771,31.446,40.2597,49.0085","0.0,0.0868,0.4982,1.9891,4.9247,10.7177,19.4033,32.8167,50.0689,68.679,89.378","0.0002,0.301,0.9684,2.4628,4.4737,7.226,11.0305,16.12,23.1695,31.2691,39.1405","0.0,0.3132,1.256,3.6339,8.3218,16.5605,29.2878,45.1054,62.5752,80.4822,99.166","0.0,0.7795,4.0011,13.4953,26.6077,42.2033,59.1972,77.0199,95.2662,114.7968,136.878","0.0,0.1397,1.529,5.4105,12.2831,21.5511,32.3273,44.2657,56.8768,69.7568,81.9619","0.0,0.1711,1.4938,4.2508,8.8807,15.2815,23.3643,33.0007,43.8154,55.1711,66.3695","0.0,0.0822,0.7667,2.5429,5.986,12.2483,20.7104,31.1581,43.9562,59.1034,77.0463","0.0,0.0883,0.4756,1.4647,3.2795,6.4236,11.1338,17.401,25.3081,34.4402,45.3012","0.0,0.2527,1.4567,4.1199,10.4615,19.4328,29.914,41.3011,53.0725,64.9552,76.9006","0.0,0.4299,2.4982,6.9496,16.4652,30.0238,45.7486,62.5454,80.0896,97.4619,115.8436","0.0,0.2258,1.1546,3.0831,9.1897,20.1746,35.3415,52.2685,69.9872,87.8267,103.9863"
Stamp_113,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1561,0.8122,2.2866,4.9621,9.1932,14.9984,22.9051,31.6059,40.4164,49.1435","0.0,0.1006,0.486,2.0199,5.0137,10.7963,19.4911,32.8735,50.1778,68.7627,89.4046","0.0,0.3448,0.9818,2.4766,4.4578,7.1939,10.9642,16.0306,23.0019,31.0249,38.6782","0.0,0.4058,1.3057,3.7389,8.3974,16.6332,29.3939,45.1657,62.6355,80.5325,99.037","0.0,0.7532,4.1054,13.6504,26.6643,42.2684,59.3292,77.0529,95.453,114.4577,136.1298","0.0,0.1506,1.6087,5.5142,12.3914,21.6792,32.5914,44.5288,57.1435,69.8531,81.958","0.0,0.2101,1.5272,4.3275,8.9274,15.3112,23.4218,33.0807,43.9386,55.2658,66.4122","0.0,0.0813,0.6983,2.5689,6.1553,12.5214,21.0392,31.7024,44.5257,59.8121,78.1156","0.0,0.1135,0.4967,1.5367,3.3884,6.5791,11.3134,17.6046,25.504,34.7264,45.7615","0.0,0.2674,1.5636,4.3049,10.7252,19.7684,30.3952,41.8345,53.6336,65.4045,77.0486","0.0,0.438,2.68,7.1549,16.7263,30.3052,46.0846,62.8972,80.4854,98.0621,116.3941","0.0,0.243,1.2297,3.1692,9.3215,20.2298,35.3213,52.2534,69.9619,87.8357,104.1052"
Stamp_114,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1743,0.8336,2.3308,5.002,9.22,15.095,23.0634,31.8165,40.5954,49.3371","0.0,0.1193,0.5231,2.0467,5.0297,10.7463,19.4502,32.9113,50.3022,69.0028,89.6748","0.0,0.3205,1.0342,2.5469,4.5104,7.2044,10.9205,15.945,23.1575,31.1483,38.8275","0.0,0.3767,1.3535,3.7337,8.3967,16.6396,29.4223,45.1689,62.5523,80.3574,98.724","0.0,0.779,4.2624,13.8266,26.8172,42.4014,59.4763,77.1951,95.7335,114.7803,136.1776","0.0,0.1634,1.6755,5.5312,12.3032,21.5275,32.3637,44.3286,56.891,69.5714,81.72","0.0,0.1947,1.5856,4.3629,8.9573,15.3423,23.4546,33.1085,43.9837,55.2687,66.4349","0.0,0.0953,0.7442,2.6617,6.3282,12.761,21.2671,32.0686,45.1455,60.4387,78.8414","0.0001,0.1206,0.4938,1.5713,3.4361,6.597,11.3741,17.6621,25.4619,34.6632,45.6315","0.0,0.3003,1.6185,4.3363,10.8013,19.908,30.5931,42.0688,53.8357,65.6804,77.4355","0.0,0.479,2.7128,7.2471,16.887,30.4851,46.2484,63.0963,80.5811,98.2427,116.6106","0.0,0.2496,1.2513,3.1705,9.3154,20.2789,35.3308,52.2153,69.8636,87.6902,103.9928"
Stamp_115,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1663,0.8148,2.2986,4.9584,9.2392,15.0787,22.9494,31.6011,40.3785,49.1232","0.0,0.0993,0.535,2.0485,5.0729,10.9096,19.6686,33.1207,50.4857,69.1654,90.1712","0.0,0.3095,1.0152,2.4868,4.5242,7.2673,11.0523,16.1181,23.1291,31.1508,38.9846","0.0,0.3608,1.3566,3.7244,8.5013,16.7807,29.609,45.4123,62.8687,80.7827,99.6125","0.0,0.8353,4.3946,14.0861,27.2308,42.8875,60.0208,77.7735,96.1059,115.6434,137.9618","0.0,0.1466,1.6424,5.618,12.5767,21.9021,32.7419,44.6938,57.3995,70.1773,82.4529","0.0,0.1818,1.5798,4.4312,9.1227,15.5936,23.7875,33.5256,44.4858,55.8902,67.1569","0.0,0.082,0.8129,2.6713,6.2932,12.6877,21.2062,31.9604,44.7473,60.0754,78.4916","0.0,0.0888,0.4851,1.5234,3.3954,6.6076,11.3993,17.6956,25.6655,34.7812,45.6635","0.0,0.2667,1.5532,4.2867,10.7195,19.7102,30.331,41.762,53.6784,65.3429,77.2208","0.0,0.4672,2.6246,7.2027,16.8002,30.5013,46.383,63.2307,80.8873,98.4159,116.7592","0.0,0.2352,1.2477,3.2041,9.3523,20.3259,35.4618,52.4857,70.2903,88.1674,104.3143"
Stamp_116,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1694,0.8514,2.3453,5.0806,9.3519,15.2132,23.1418,31.8457,40.6666,49.3877","0.0,0.1119,0.525,2.0998,5.1798,10.9478,19.6979,33.1362,50.5225,69.2781,90.2183","0.0,0.3583,1.034,2.5238,4.552,7.2884,11.0653,16.1376,23.118,31.1512,38.8192","0.0,0.4168,1.3708,3.8402,8.5604,16.835,29.767,45.588,63.0331,80.9327,99.5337","0.0,0.7801,4.4082,14.088,27.2576,42.9688,60.0741,78.0436,96.3858,115.9564,137.8706","0.0,0.1617,1.7234,5.7447,12.6938,22.0082,32.9751,44.9728,57.6407,70.3972,82.6217","0.0,0.2256,1.6059,4.471,9.1323,15.5943,23.8123,33.5775,44.5115,55.8693,67.0908","0.0,0.0834,0.7371,2.664,6.4581,12.8991,21.4637,32.4722,45.6053,61.0441,79.5321","0.0,0.1174,0.5162,1.5717,3.4763,6.7004,11.5186,17.8899,25.8296,34.9744,45.9498","0.0,0.2771,1.623,4.4145,10.858,19.9253,30.611,42.1787,53.9131,65.5846,77.1886","0.0,0.4648,2.7852,7.3323,16.9491,30.6601,46.5113,63.4113,80.9558,98.66,117.0218","0.0,0.2575,1.2826,3.2248,9.3885,20.3682,35.5462,52.5968,70.3711,88.2809,104.6267"
Stamp_117,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.186,0.8918,2.4197,5.1193,9.3898,15.2339,23.1823,31.9287,40.6955,49.42","0.0,0.1337,0.5759,2.1735,5.2325,10.9814,19.7348,33.2798,50.7967,69.5801,90.4533","0.0,0.3437,1.0716,2.5906,4.6067,7.301,11.0384,16.0973,23.2923,31.2866,38.9652","0.0,0.3938,1.4286,3.8528,8.5848,16.8574,29.7896,45.6162,63.0129,80.8361,99.2272","0.0,0.8417,4.6042,14.3103,27.4089,43.1095,60.2289,78.1052,96.5617,116.1182,137.8509","0.0,0.167,1.7466,5.7329,12.6511,22.0338,32.9626,44.8529,57.4353,70.1372,82.4087","0.0,0.2061,1.6637,4.5262,9.2119,15.6794,23.9147,33.6354,44.5809,55.863,67.0852","0.0001,0.1002,0.7699,2.7487,6.6211,13.0708,21.6976,32.7892,46.0723,61.5257,79.9443","0.0,0.101,0.4956,1.5829,3.5238,6.713,11.5189,17.8732,25.7744,34.9357,45.8133","0.0001,0.2924,1.6425,4.4597,10.9125,19.9591,30.6523,42.1855,54.0695,65.9675,77.7072","0.0,0.5133,2.8235,7.4586,17.0987,30.8107,46.734,63.729,81.2805,99.0426,117.3303","0.0,0.274,1.3282,3.2849,9.439,20.3709,35.4842,52.4925,70.2719,88.1783,104.5814"
Stamp_118,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1347,0.7091,2.0777,4.6114,8.7422,14.5146,22.3628,31.056,39.8626,48.5647","0.0,0.0965,0.465,1.9038,4.6379,10.3131,18.8725,32.1191,49.26,67.6631,88.0739","0.0,0.2771,0.895,2.3562,4.2898,7.0291,10.8305,15.9165,23.0062,31.1243,38.9288","0.0,0.2753,1.1242,3.3938,8.0392,16.1763,28.8911,44.6329,61.9659,79.7441,98.2823","0.0,0.6402,3.3297,12.3645,25.3465,40.7827,57.6732,75.2355,93.3493,112.2095,133.9514","0.0,0.1534,1.3641,4.9259,11.7759,20.9025,31.5606,43.3376,55.7786,68.4145,80.5854","0.0,0.1584,1.3608,3.9325,8.4718,14.7465,22.7834,32.2985,42.9557,54.1915,65.3023","0.0,0.0818,0.692,2.3233,5.4742,11.2874,19.4294,29.6875,41.7606,56.8781,74.1211","0.0,0.0819,0.4447,1.3705,3.1255,6.188,10.8183,16.9112,24.6296,33.7703,44.6222","0.0,0.2395,1.3107,3.8806,10.1661,19.0417,29.4455,40.7186,52.6015,64.5033,76.5087","0.0,0.3805,2.2328,6.4708,15.9273,29.285,44.8554,61.4567,78.7955,96.1288,114.1051","0.0,0.1923,1.0253,2.9183,8.9955,19.9438,34.9324,51.7675,69.369,87.0148,103.1047"
Stamp_119,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1436,0.7384,2.171,4.7558,8.9018,14.6823,22.5762,31.2675,40.0529,48.7451","0.0,0.0997,0.4402,1.9307,4.7844,10.5134,19.1166,32.3749,49.5185,67.8467,88.3002","0.0,0.3084,0.9161,2.385,4.326,7.0465,10.8344,15.9125,22.8974,30.9268,38.6413","0.0,0.3515,1.1766,3.5154,8.1376,16.2863,29.0295,44.7626,62.0993,79.8445,98.1563","0.0,0.5933,3.5256,12.6293,25.5991,41.0279,57.8117,75.4678,93.6522,112.4239,133.7971","0.0,0.1193,1.4322,5.0896,11.9033,21.105,31.8369,43.5632,55.9825,68.5428,80.6332","0.0,0.1944,1.4049,4.06,8.5866,14.8688,22.8816,32.4297,43.1899,54.4641,65.4892","0.0,0.0787,0.6331,2.3696,5.5749,11.565,19.8951,30.2032,42.6902,57.7745,75.293","0.0,0.1061,0.4505,1.4545,3.2195,6.2821,10.94,17.1231,24.8916,34.0445,44.9834","0.0,0.2526,1.4221,4.0729,10.4312,19.371,29.8678,41.2166,53.052,64.839,76.6709","0.0,0.3941,2.4378,6.7193,16.1918,29.575,45.1817,61.8224,79.2312,96.5175,114.9015","0.0,0.2164,1.1035,3.0259,9.0946,19.9511,34.9112,51.7369,69.3611,87.0152,103.1991"
Stamp_120,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0003,0.1678,0.7677,2.2158,4.7962,8.9308,14.7336,22.6667,31.4443,40.2218,48.9161","0.0,0.1129,0.463,1.9488,4.7499,10.4179,19.0082,32.3264,49.5527,68.0114,88.435","0.0,0.2916,0.9639,2.4459,4.3546,7.0373,10.7442,15.8127,22.9946,31.0201,38.6996","0.0,0.3296,1.2177,3.5279,8.1292,16.2754,29.0232,44.76,62.0635,79.74,97.8291","0.0,0.6363,3.7335,12.9187,25.8478,41.2626,58.0674,75.7923,94.0399,112.8065,133.8851","0.0,0.1462,1.5107,5.1552,11.9172,21.0548,31.7209,43.487,55.9943,68.5747,80.5518","0.0,0.1836,1.4792,4.1306,8.6371,14.9046,22.9089,32.4697,43.2189,54.4237,65.4194","0.0,0.0898,0.6866,2.4925,5.7728,11.9023,20.2448,30.5968,43.3478,58.4514,76.0276","0.0001,0.1189,0.4701,1.5017,3.2786,6.3444,10.9748,17.1261,24.8924,33.9763,44.8277","0.0,0.285,1.5006,4.178,10.5381,19.5345,30.1155,41.497,53.3237,64.9521,76.6688","0.0,0.4289,2.5291,6.8952,16.3777,29.7473,45.2841,61.9215,79.4148,96.7702,115.1743","0.0,0.2202,1.1354,3.0442,9.1261,19.9929,34.9664,51.7267,69.3102,86.9632,103.145"
Stamp_121,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1569,0.7556,2.1683,4.7571,8.9123,14.6785,22.5135,31.1812,39.9422,48.5887","0.0,0.0847,0.4859,1.942,4.8058,10.5511,19.1864,32.4921,49.6798,68.1949,88.7169","0.0,0.2946,0.9515,2.4039,4.3877,7.1202,10.9145,15.9811,23.0673,31.162,38.9543","0.0,0.2992,1.2132,3.5064,8.2133,16.4327,29.2483,44.9944,62.3979,80.2811,98.86","0.0,0.6814,3.7637,13.1008,26.1876,41.7142,58.5995,76.3279,94.5165,113.8064,135.7777","0.0,0.1208,1.4685,5.2646,12.1388,21.3742,32.1176,43.9426,56.4544,69.1384,81.3185","0.0,0.1632,1.4591,4.1792,8.7992,15.1446,23.2403,32.8866,43.6697,55.0479,66.1905","0.0,0.0773,0.7259,2.4854,5.7739,11.8478,20.2287,30.5432,43.0467,58.1419,75.7468","0.0,0.0854,0.4518,1.4313,3.2206,6.369,11.0504,17.2258,25.0471,34.1302,45.0447","0.0,0.2519,1.4114,4.0848,10.4104,19.2979,29.7317,41.1094,52.9349,64.7522,76.6684","0.0,0.4173,2.4135,6.7982,16.2855,29.7581,45.4087,62.061,79.5536,96.8653,114.9363","0.0,0.212,1.1303,3.0464,9.1567,20.1178,35.1715,52.0868,69.6909,87.3445,103.386"
Stamp_122,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1447,0.78,2.2369,4.8901,9.0848,14.8703,22.7477,31.4381,40.2509,48.9564","0.0,0.1044,0.4712,1.9961,4.9387,10.6929,19.3412,32.6921,49.9583,68.4462,88.9614","0.0,0.3377,0.9629,2.4446,4.4089,7.1374,10.9265,15.9989,22.9969,31.0158,38.7293","0.0,0.3741,1.2534,3.6566,8.295,16.5031,29.2763,45.0145,62.4318,80.241,98.7203","0.0,0.7061,3.9045,13.3228,26.3145,41.8735,58.8808,76.4458,94.7288,113.8741,135.2995","0.0,0.1443,1.555,5.3839,12.2569,21.4975,32.2414,44.1263,56.6674,69.3089,81.3295","0.0,0.2047,1.4934,4.234,8.8331,15.2165,23.2722,32.8911,43.7023,54.9634,66.0337","0.0,0.0813,0.6764,2.4932,5.9215,12.1793,20.6206,31.1105,43.8936,59.0663,77.0758","0.0,0.1132,0.4811,1.4972,3.3197,6.4584,11.158,17.4076,25.2912,34.4169,45.3622","0.0,0.2659,1.5258,4.2514,10.661,19.6426,30.1383,41.5075,53.3254,65.1272,76.9023","0.0,0.4213,2.5752,7.0267,16.5392,30.0443,45.7133,62.4603,80.0444,97.4555,115.8254","0.0,0.2342,1.1838,3.1119,9.2148,20.1057,35.1282,52.0476,69.7593,87.5562,103.7748"
Stamp_123,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1754,0.8169,2.2796,4.912,9.1046,14.9386,22.8663,31.5787,40.3728,49.0571","0.0,0.1161,0.5123,2.0075,4.9713,10.7042,19.3948,32.7817,50.0573,68.5551,89.0833","0.0,0.3043,1.0037,2.5092,4.4535,7.1486,10.8675,15.9055,23.0855,31.0664,38.7548","0.0,0.3423,1.291,3.6563,8.2951,16.4974,29.3054,45.055,62.3873,80.1054,98.3506","0.0,0.7558,4.1466,13.6904,26.6547,42.1373,59.1303,76.7367,95.0851,114.2483,135.4466","0.0,0.142,1.6079,5.3885,12.1922,21.3726,32.0596,43.9365,56.4808,69.1479,81.2173","0.0,0.1894,1.5483,4.2991,8.8684,15.2129,23.2689,32.8915,43.7272,54.9904,66.0841","0.0,0.094,0.7265,2.5975,6.05,12.3766,20.8924,31.4945,44.3376,59.5284,77.6619","0.0,0.1196,0.4845,1.5401,3.3653,6.4842,11.1782,17.4304,25.2323,34.3974,45.2966","0.0,0.2961,1.5804,4.2773,10.7185,19.7222,30.3174,41.7992,53.5887,65.4076,77.1345","0.0,0.4693,2.6423,7.1201,16.6755,30.1701,45.8317,62.5988,80.0762,97.6312,115.9591","0.0,0.2409,1.2121,3.1139,9.2254,20.1811,35.2144,52.0651,69.6542,87.4335,103.6454"
Stamp_124,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1533,0.8054,2.2653,4.9002,9.1245,14.9882,22.8208,31.4223,40.1327,48.853","0.0,0.0883,0.5184,2.0103,4.9854,10.7846,19.465,32.884,50.1591,68.7961,89.5447","0.0002,0.294,0.9924,2.4419,4.482,7.2082,10.9881,16.0447,23.1761,31.1405,38.9119","0.0,0.3085,1.2836,3.6176,8.3664,16.6215,29.4078,45.2087,62.6873,80.647,99.4184","0.0,0.7815,4.1878,13.7878,26.8969,42.4758,59.503,77.2244,95.4526,114.9846,137.1433","0.0,0.171,1.6316,5.5269,12.4603,21.7585,32.6088,44.5258,57.0621,69.7284,81.9613","0.0,0.1807,1.5521,4.3647,9.0273,15.4394,23.5947,33.3191,44.2123,55.5795,66.8255","0.0,0.0783,0.7921,2.6166,6.1459,12.4046,20.8159,31.3666,44.0933,59.2659,77.3317","0.0,0.0888,0.4798,1.4816,3.3306,6.5133,11.2611,17.5169,25.3965,34.5451,45.4401","0.0,0.2597,1.5164,4.2352,10.6117,19.57,30.132,41.5036,53.2833,64.9489,76.7535","0.0,0.4528,2.5709,7.0773,16.6255,30.2434,46.0317,62.7993,80.2914,97.6823,115.9963","0.0,0.2158,1.1895,3.13,9.2577,20.2143,35.3863,52.3603,70.1012,87.9497,104.1843"
Stamp_125,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1517,0.8214,2.3107,5.0066,9.2524,15.0749,22.9832,31.6609,40.455,49.122","0.0,0.0996,0.5046,2.0528,5.0961,10.866,19.5854,33.0111,50.3441,68.9964,89.6991","0.0,0.3539,1.0068,2.4989,4.5089,7.2543,11.0164,16.094,23.068,31.0466,38.7303","0.0,0.3994,1.3291,3.7854,8.4699,16.7271,29.58,45.3715,62.7736,80.6046,99.155","0.0,0.7779,4.2842,13.9072,27.0223,42.7111,59.7826,77.6521,95.9249,115.1559,136.8825","0.0,0.1558,1.6721,5.6298,12.5159,21.8156,32.7133,44.6644,57.2183,69.9246,82.0072","0.0,0.2149,1.5647,4.4067,9.0429,15.4708,23.665,33.4114,44.2882,55.6302,66.7978","0.0,0.0857,0.7169,2.6041,6.2496,12.6807,21.1164,31.8933,44.7971,60.0926,78.4746","0.0,0.1151,0.5023,1.55,3.4291,6.6501,11.4456,17.7577,25.6648,34.8571,45.8677","0.0,0.2731,1.5856,4.3659,10.7892,19.7946,30.383,41.8427,53.5764,65.318,76.8454","0.0,0.4488,2.7272,7.2272,16.7781,30.375,46.1672,62.993,80.5303,98.1145,116.4246","0.0,0.2513,1.2533,3.2094,9.3169,20.2445,35.3587,52.3421,70.0571,87.9457,104.2113"
Stamp_126,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1771,0.8532,2.3568,5.0667,9.2921,15.161,23.0624,31.7717,40.5107,49.2047","0.0,0.1198,0.5535,2.09,5.1377,10.8705,19.6204,33.1034,50.4942,69.1721,89.9356","0.0,0.3216,1.0394,2.5558,4.5392,7.2429,10.977,16.0354,23.1576,31.1629,38.8863","0.0,0.3665,1.3752,3.7864,8.4636,16.7127,29.5314,45.2684,62.6457,80.4423,98.8542","0.0,0.7904,4.4007,14.0092,27.0288,42.6347,59.6927,77.4947,95.9662,115.0439,136.5442","0.0,0.1845,1.7025,5.6042,12.4967,21.7173,32.4534,44.3097,56.9545,69.6647,81.7708","0.0,0.1939,1.638,4.4516,9.099,15.5216,23.673,33.3544,44.273,55.5521,66.7171","0.0,0.0952,0.7635,2.7055,6.4482,12.8901,21.4106,32.2746,45.3671,60.6603,79.1016","0.0002,0.1144,0.5007,1.5795,3.4684,6.6396,11.4049,17.7413,25.6531,34.8249,45.7178","0.0,0.3036,1.636,4.4199,10.8669,19.8701,30.5127,42.007,53.7518,65.5306,77.1436","0.0,0.5047,2.7591,7.3311,16.9403,30.5976,46.437,63.288,80.7888,98.4154,116.7449","0.0,0.2605,1.2904,3.2283,9.376,20.3307,35.4691,52.399,70.0968,87.9514,104.2778"
Stamp_127,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.143,0.696,2.0341,4.5149,8.5826,14.3207,22.0923,30.6579,39.3672,47.9871","0.0,0.0883,0.4346,1.8101,4.5242,10.1603,18.6796,31.8666,48.9575,67.2484,87.6101","0.0,0.261,0.8616,2.2702,4.1973,6.9158,10.6989,15.7597,22.9126,30.9481,38.633","0.0,0.2487,1.0587,3.2488,7.8762,16.0114,28.6951,44.4307,61.7976,79.6294,98.0486","0.0,0.5844,3.1079,11.9598,24.8373,40.1451,56.9096,74.4361,92.3999,111.1092,132.7603","0.0,0.0965,1.2674,4.7263,11.4585,20.4583,31.1138,42.7852,55.1081,67.6299,79.7104","0.0,0.157,1.3355,3.8668,8.3645,14.6199,22.6121,32.0952,42.7753,54.0319,65.0671","0.0,0.0692,0.6728,2.2718,5.3435,11.0619,19.0621,29.1945,41.1556,56.2157,73.1834","0.0,0.0775,0.4241,1.3407,3.0749,6.1265,10.7311,16.8473,24.4937,33.6027,44.3612","0.0,0.2307,1.2675,3.8601,10.1185,18.928,29.26,40.5604,52.4452,64.3239,76.2493","0.0,0.3578,2.134,6.2377,15.6635,28.935,44.4558,61.0123,78.2931,95.5798,113.2744","0.0,0.1745,0.9889,2.8532,8.8891,19.8058,34.7452,51.5144,68.9854,86.5423,102.404"
